2022-02-25 15:09:26,826 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:09:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:10:26,545 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:10:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:10:26,785 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:10:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:10:26,862 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:10:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:10:26,864 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:10:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:11:26,521 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:11:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:11:26,773 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:11:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:11:26,831 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:11:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:11:26,832 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:11:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:12:26,513 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:12:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:12:26,772 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:12:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:12:26,824 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:12:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:12:26,828 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:12:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:13:26,521 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:13:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:13:26,773 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:13:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:13:26,830 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:13:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:13:26,835 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:13:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:14:26,535 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:14:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:14:26,793 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:14:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:14:26,857 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:14:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:14:26,859 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:14:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:15:26,531 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:15:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:15:26,789 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:15:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:15:26,851 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:15:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:15:26,853 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:15:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:16:26,535 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:16:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:16:26,785 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:16:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:16:26,839 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:16:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:16:26,841 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:16:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:17:26,528 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:17:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:17:26,798 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:17:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:17:26,843 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:17:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:17:26,844 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:17:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:18:26,527 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:18:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:18:26,841 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:18:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:18:26,842 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:18:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:18:27,159 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:18:27] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:19:26,508 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:19:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:19:26,777 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:19:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:19:26,823 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:19:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:19:26,824 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:19:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:20:26,566 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:20:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:20:26,820 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:20:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
